ProductKey,SKU,ProductName,Category,BaseMRP,TransferPrice,AmazonMRP,MyntraMRP,AjioMRP,FlipkartMRP,LimeroadMRP,PaytmMRP,SnapdealMRP,MaxCrossChannelSpreadAmount,ArbitrageSpreadPct
1081,OS271_S,KURTA SET - OS271 (FOUR GEMS 2),KURTA SET,2795.00,680.00,2795.00,2795.00,2995.00,2795.00,2795.00,2795.00,2795.00,200.00,7.160000000000000
248,OS1108_S,KURTA SET - OS1108 (SURMAYA),KURTA SET,1795.00,780.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,0.00,0E-15
1330,SILVER3-1296-2XL,NILL - SILVER3-1296 (NILL),NILL,3149.00,895.00,3149.00,3149.00,3149.00,3149.00,3149.00,3149.00,3149.00,0.00,0E-15
148,OS1075_2XL,KURTA - OS1075 (MIX),KURTA,2495.00,550.00,2795.00,2495.00,2495.00,2795.00,2495.00,2495.00,2495.00,300.00,12.020000000000000
1230,OS294_L,KURTA SET - OS294 (MIX),KURTA SET,2975.00,595.00,2997.00,2895.00,2975.00,2975.00,2975.00,2975.00,2975.00,102.00,3.520000000000000
689,OS185_1105_L,KURTA - OS185_1105 (MIX),KURTA,2138.00,529.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
1210,OS290_2XL,KURTA SET - OS290 (MIX),KURTA SET,3195.00,625.00,3195.00,3195.00,3195.00,3195.00,3195.00,3195.00,3195.00,0.00,0E-15
878,OS217_5071_S,KURTA - OS217_5071 (MIX),KURTA,1695.00,424.00,1695.00,1695.00,1695.00,1695.00,1795.00,1695.00,1695.00,100.00,5.900000000000000
546,OS161_XL,KURTA - OS161 (MIX),KURTA,1695.00,395.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
1233,OS294_XL,KURTA SET - OS294 (MIX),KURTA SET,2975.00,595.00,2997.00,2895.00,2975.00,2975.00,2975.00,2975.00,2975.00,102.00,3.520000000000000
832,OS209_5058_XL,KURTA - OS209_5058 (COLORS-8),KURTA,1778.00,438.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
168,OS1084_L,KURTA SET - OS1084 (SURMAYA),KURTA SET,2395.00,1050.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,0.00,0E-15
1164,OS282_3XL,KURTA SET - OS282 (MIX),KURTA SET,3197.00,640.00,3295.00,3197.00,3295.00,3295.00,3197.00,3197.00,3197.00,98.00,3.070000000000000
500,OS154_M,KURTA - OS154 (MIX),KURTA,1695.00,395.00,1895.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,200.00,11.800000000000000
